Feature,KL(KNN),KL(MICE)
Age,0.0,0.0
first TSH,0.0013932139330724517,0.00020249403257372654
last TSH,0.008877174191295363,0.007179998363574132
first T3,0.010496990865720068,0.006308433001157905
last T3,0.05387031717840455,0.09135276391642855
first T4,0.005955754985963141,0.00145673059922344
last T4,0.175324509486535,0.6614879767813927
Smoking,0.03038290447310362,0.043429297264587885
Marital status,0.0,0.0
first FT3,0.042809384441464864,0.004782224044330257
last FT3,0.01063588368348907,0.0018007587941088685
